[16:10:28] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=13 | OBJETS=['person', 'person', 'person', 'backpack']
[16:10:28] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'person']
[16:10:28] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'person']
[16:10:28] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'person']
[16:10:28] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'person']
[16:10:29] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'person']
[16:10:29] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'person']
[16:10:29] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'person']
[16:10:29] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'person']
[16:10:29] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'person']
[16:10:29] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'person']
[16:10:30] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'person']
[16:10:30] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=13 | OBJETS=['person', 'person', 'person', 'backpack']
[16:10:30] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'person']
[16:10:30] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'person']
[16:10:30] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'person']
[16:10:30] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'person']
[16:10:31] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'person']
[16:10:31] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'person']
[16:10:31] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'person']
[16:10:31] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'person']
[16:10:32] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'person']
[16:10:32] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'person']
[16:10:32] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'person']
[16:10:32] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'person']
[16:10:33] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'person']
[16:10:33] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=13 | OBJETS=['person', 'person', 'person', 'backpack']
[16:10:33] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=16 | OBJETS=['person', 'person', 'person', 'person']
[16:10:33] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=13 | OBJETS=['person', 'person', 'person', 'backpack']
[16:10:33] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=13 | OBJETS=['person', 'person', 'person', 'backpack']
[16:10:34] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=13 | OBJETS=['person', 'person', 'person', 'backpack']
[16:10:34] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'person']
[16:10:34] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'person']
[16:10:34] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'person']
[16:10:35] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=13 | OBJETS=['person', 'person', 'person', 'backpack']
[16:10:35] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=13 | OBJETS=['person', 'person', 'person', 'backpack']
[16:10:35] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=13 | OBJETS=['person', 'person', 'person', 'backpack']
[16:10:35] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'person']
[16:10:36] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'person']
[16:10:36] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=13 | OBJETS=['person', 'person', 'person', 'backpack']
[16:10:36] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'person']
[16:10:36] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'person']
[16:10:37] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'person']
[16:10:37] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'person']
[16:10:37] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'person']
[16:10:37] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'person']
[16:10:37] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'person']
[16:10:38] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'person']
[16:10:38] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'person']
[16:10:38] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'person']
[16:10:38] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'person']
[16:10:39] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'person']
[16:10:39] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'person']
[16:10:39] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'person']
[16:10:39] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'person']
[16:10:40] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'person']
[16:10:40] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'person']
[16:10:40] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=16 | OBJETS=['person', 'person', 'person', 'person']
[16:10:40] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=16 | OBJETS=['person', 'person', 'person', 'person']
[16:10:40] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'person']
[16:10:41] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=17 | OBJETS=['person', 'person', 'person', 'person', 'backpack']
[16:10:41] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'person']
[16:10:41] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'person']
[16:10:41] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=13 | OBJETS=['person', 'person', 'person', 'backpack']
[16:10:42] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'person']
[16:10:42] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'person']
[16:10:42] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'person']
[16:10:42] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'person']
[16:10:42] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=13 | OBJETS=['person', 'person', 'person', 'backpack']
[16:10:43] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=13 | OBJETS=['person', 'person', 'person', 'backpack']
[16:10:43] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=13 | OBJETS=['person', 'person', 'person', 'backpack']
[16:10:43] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=13 | OBJETS=['person', 'person', 'person', 'backpack']
[16:10:43] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=13 | OBJETS=['person', 'person', 'backpack', 'person']
[16:10:44] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'person']
[16:10:44] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'person']
[16:10:44] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=13 | OBJETS=['person', 'person', 'person', 'backpack']
[16:10:44] ZONE=CAM_piste_decolage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'person']
