[17:33:12] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'truck']
[17:33:12] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'truck']
[17:33:12] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'truck']
[17:33:12] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'truck']
[17:33:12] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'truck']
[17:33:12] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'truck']
[17:33:13] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'truck']
[17:33:13] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'truck']
[17:33:14] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'truck']
[17:33:14] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'truck']
[17:33:14] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'truck']
[17:33:14] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'truck']
[17:33:14] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'truck']
[17:33:14] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'truck']
[17:33:14] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'truck']
[17:33:15] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'truck']
[17:33:15] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=14 | OBJETS=['person', 'person', 'truck', 'car']
[17:33:15] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=14 | OBJETS=['person', 'person', 'truck', 'car']
[17:33:15] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=14 | OBJETS=['person', 'person', 'truck', 'car']
[17:33:15] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'truck']
[17:33:16] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'truck']
[17:33:16] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=14 | OBJETS=['person', 'person', 'truck', 'car']
[17:33:16] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'truck']
[17:33:16] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'truck']
[17:33:16] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'truck']
[17:33:16] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'truck']
[17:33:17] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'truck']
[17:33:17] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'truck']
[17:33:17] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'truck']
[17:33:17] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'truck']
[17:33:17] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'truck']
[17:33:17] ZONE=CAM_piste_aterisage | NIVEAU=ÉLEVÉ | SCORE=12 | OBJETS=['person', 'person', 'truck']
